iso3c,year,credit_priv_pct_gdp,fdi_pct_gdp,gdp_pc_usd,inflation,remit_pct_gdp,trade_open
IDN,2010,27.2530411349395,2.02517914569356,3065.68348377765,5.13420400767928,0.915919028544745,46.7012738758737
IDN,2011,30.0821993577662,2.30298429381592,3579.46442466152,5.3560477898215,0.775387465928679,50.1800131841104
IDN,2012,33.4341714348422,2.30978031853074,3632.27254030331,4.27949999641975,0.785753675199222,49.5828982992627
IDN,2013,36.0581396070456,2.55135633401058,3566.60284506078,6.41251330156418,0.834434842174634,48.6373726752893
IDN,2014,36.4235451552096,2.81997260412102,3441.06808464008,6.39492540819922,0.959926226606045,48.0801755855227
IDN,2015,39.1187982955119,2.29761639380441,3288.22269725538,6.36312113115612,1.12204462407113,41.9376402415294
IDN,2016,39.4024246939413,0.487372471368879,3521.46943457574,3.5258051568793,0.955775529544706,37.4213418023318
IDN,2017,38.7323495613041,2.01948919812582,3798.88326174526,3.80879806953157,0.885128402978051,39.3554970704606
IDN,2018,38.8054496665639,1.81428979349441,3860.95353090726,3.1983464156241,1.07604827122093,43.0743089552002
IDN,2019,38.3726939516609,2.23336204282241,4106.94856160358,3.03058664969487,1.04248024307832,37.6277775357108
IDN,2020,38.6795390891453,1.81058402027127,3853.70288774146,1.9209680056685,0.91127727787002,32.9721754002427
IDN,2021,36.9908270556254,1.78785563145541,4287.17313995098,1.56012990525673,0.792444188150129,40.2047582749671
IDN,2022,35.2884329632688,1.87264100861425,4730.83484836107,4.20946383402165,0.99228904198387,45.4646701959453
IDN,2023,36.0128888595253,1.57116694173474,4876.30774512252,3.67013142377007,1.05507286323115,41.3362868707652
IDN,2024,36.3924507638113,1.72814032292295,4925.43048751861,,1.14863323387459,42.572647301834
MYS,2010,107.122752573885,4.26864663854031,8899.34505544675,1.62285235577035,0.432489840716057,157.944764886771
MYS,2011,108.425936705379,5.07446032143377,10217.1068585031,3.1744709215131,0.406608260024417,154.937684607226
